heading,id,latitude,longitude,predictable,route_id,run_id,seconds_since_report,call_time
126.0,9349,34.0421755,-118.2451643,True,720,720_1122_0,48,2019-09-17 11:23:28.026703
94.0,9357,34.0669695,-118.4017977,True,720,720_1139_0,19,2019-09-17 11:23:28.026703
117.0,9363,34.0483433,-118.2545312,True,720,720_1139_0,18,2019-09-17 11:23:28.026703
305.0,9350,34.0579698,-118.2756138,True,720,720_1156_1,19,2019-09-17 11:23:28.026703
313.0,9480,34.0475009,-118.250359,True,720,720_1156_1,42,2019-09-17 11:23:28.026703
287.0,9545,34.0651645,-118.3759497,True,720,720_1144_1,18,2019-09-17 11:23:28.026703
90.0,9374,34.020744,-118.158844,True,720,720_1122_0,71,2019-09-17 11:23:28.026703
270.0,9366,34.062214,-118.343811,True,720,720_1156_1,71,2019-09-17 11:23:28.026703
272.0,9370,34.0198348,-118.1540968,True,720,720_1144_1,18,2019-09-17 11:23:28.026703
270.0,9369,34.062408,-118.350075,True,720,720_1144_1,71,2019-09-17 11:23:28.026703
332.0,9519,34.0390822,-118.2399253,True,720,720_1144_1,47,2019-09-17 11:23:28.026703
105.0,9367,34.060181,-118.280876,True,720,720_1122_0,71,2019-09-17 11:23:28.026703
255.0,9552,34.058914,-118.442863,True,720,720_1150_1,42,2019-09-17 11:23:28.026703
270.0,9378,34.0619129,-118.293892,True,720,720_1144_1,42,2019-09-17 11:23:28.026703
38.0,9396,34.0190408,-118.4918415,True,720,720_1144_1,18,2019-09-17 11:23:28.026703
256.0,9377,34.060318,-118.4383582,True,720,720_1156_1,18,2019-09-17 11:23:28.026703
84.0,9387,34.066922,-118.4109268,True,720,720_1122_0,47,2019-09-17 11:23:28.026703
